ID 1; String 1; ID 2; String 2; Levenshtein Distance; Similar Result
1907605;L-Карнітин табл. 250 мг №40 Фармаком ПТФ (Україна, Харків);580968;Расторопша табл. 250 мг №80 Фармаком ПТФ (Україна, Харків) (СА АРОНИЯ);23;0.6034483
1856283;Авент соска силіконова тм "PHILIPS AVENT" SCF654/27, NATURAL, 4 отв. №1 Philips Electronics UK Limited (Великобритания);580865;Авент соска силіконова тм "PHILIPS AVENT" SCF652/27, NATURAL, 2 отв. Philips Electronics UK Limited (Великобритания) (СА АРОНИЯ);17;0.85714287
1233317;Аква Маріс спрей д/горла 30 мл Jadran (Хорватия);467416;Аква Марис спрей для горла 30мл (ПДВ);19;0.6041666
1224858;Аква Маріс Стронг спрей назал. 30 мл Jadran (Хорватия);358117;Аква Марис Стронг спрей назал. 30мл (ПДВ);16;0.7037037
1774990;Аква Спрей спрей назал. 45 мл Червона Зірка (Україна, Харків);533296;Аква Спрей спрей назал. 45 мл Красная звезда (Украина, Харьков)(СА);16;0.73770493
1629563;Ароматика Сіль д/ванн з ефірними оліями 100 г,  рожевого дерева та грейпфрута Ароматика (Україна, Київ);580589;Ароматика Сіль д/ванн з ефірними оліями 100 г, сандал та кориця Ароматика (Україна, Київ) (СА АРОНИЯ);36;0.6504854
1670395;Ароматика Сіль д/ванн з ефірними оліями 100 г, лаванда та шавлія мускатна Ароматика (Україна, Київ);580589;Ароматика Сіль д/ванн з ефірними оліями 100 г, сандал та кориця Ароматика (Україна, Київ) (СА АРОНИЯ);30;0.6969697
1685448;Ароматика Сіль д/ванн з ефірними оліями 100 г, чайне дерево та лимон Ароматика (Україна, Київ);580589;Ароматика Сіль д/ванн з ефірними оліями 100 г, сандал та кориця Ароматика (Україна, Київ) (СА АРОНИЯ);27;0.71276593
1269865;Бебі каша безмолочна Гречка низькоалергенна 250 г з 4 міс. Droga Kolinska (Словения);570451;Бебі каша безмолочна Вівсяна з лісовими ягодами 200 г з 6 міс. Droga Kolinska (Словения)(СА);28;0.6666666
1217105;Бинт еластичний сітчастий трубчастий Тип-1 бавовна 5 см х 50 см, рука,нога,стегно Миран (Україна, Київ);497472;Бинт еластичний сітчастий трубчастий Тип-1, 15смх5см (бавовна) (рука,нога,стегно) ;41;0.6019417
1925951;Бішофіт Полтавський "Форте холодний" 100 мл Экобиз (Україна, Полтава);578732;Бішофіт Полтавський "П'ятковий гель" 100 мл Экобиз (Україна, Полтава) (СА АРОНИЯ);25;0.6376811
2011939;Ватні диски Клінік Платкі  №80 Harper Hygienics (Польша);570726;Ватні палички SIELA п/е №300 Harper Hygienics (Польша);18;0.67857146
2011940;Ватні диски Клінік Платкі з алоє №120 Harper Hygienics (Польша);570726;Ватні палички SIELA п/е №300 Harper Hygienics (Польша);24;0.61904764
2011956;Ватні диски Клінік Світ Сенс  №120 Harper Hygienics (Польша);570726;Ватні палички SIELA п/е №300 Harper Hygienics (Польша);21;0.65
2011960;Ватні диски Клінік Світ Сенс  №80 Harper Hygienics (Польша);570726;Ватні палички SIELA п/е №300 Harper Hygienics (Польша);21;0.64406776
1926947;Ватні палички SIELA п/е №100 Siela (Польша);570726;Ватні палички SIELA п/е №300 Harper Hygienics (Польша);15;0.6511628
1651802;Ватні палички Клінік Класік коробка прямокут. №200 Harper Hygienics (Польша);570726;Ватні палички SIELA п/е №300 Harper Hygienics (Польша);30;0.6052631
1861175;Домашній доктор еліксир для роту Кедровий 300 мл Ельфа (Україна, Коростень);572652;Домашний доктор Еликсир для рта кедровый  300мл (Хмельницкий);29;0.61333334
1861175;Домашній доктор еліксир для роту Кедровий 300 мл Ельфа (Україна, Коростень);578700;Домашній доктор еліксир для роту 300 мл Ельфа ФФ (Україна, Коростень) (СА АРОНИЯ);24;0.68
1969009;Домашній доктор еліксир для роту Кедровий 500 мл Ельфа (Україна, Коростень);572652;Домашний доктор Еликсир для рта кедровый  300мл (Хмельницкий);30;0.6
1969009;Домашній доктор еліксир для роту Кедровий 500 мл Ельфа (Україна, Коростень);578700;Домашній доктор еліксир для роту 300 мл Ельфа ФФ (Україна, Коростень) (СА АРОНИЯ);25;0.6666666
1997585;Домашній доктор Еліксир для роту Комплексна дія 500 мл Ельфа (Україна, Коростень);578700;Домашній доктор еліксир для роту 300 мл Ельфа ФФ (Україна, Коростень) (СА АРОНИЯ);31;0.61728394
1970343;Домашній Доктор крем-мило Дитяче з чередою, ромашкою, календулою 70 г Ельфа (Україна, Коростень);572764;Домашний Доктор  Крем-мыло детс. с чередой, ромашкой, календ. 70г (Хмельницкий);37;0.6145834
1659663;Домашній Доктор маска Лопух кропива проти випадіння волосся 150 мл Ельфа (Україна, Коростень);572754;Домашний доктор Маска лопух, крапива против выпад. волос 150мл (Хмельницкий);34;0.6344086
1970323;Домашній Доктор Шампунь Кефірний з бджолиним молочком 1000 мл Ельфа (Україна, Коростень);572741;Домашний доктор Шампунь кефирный с пчелиным молочком 1000мл (Хмельницкий);32;0.6363636
1934794;Домашній Доктор Шампунь Мумійо алтайське і мед 1000 мл Ельфа (Україна, Коростень);572709;Домашний доктор Шампунь мумие алтайское и мед 1000мл (Хмельницкий);30;0.6296296
1931414;Домашній Доктор Шампунь Потрійна сила 1000 мл Ельфа (Україна, Коростень);572615;Домашний доктор Шампунь тройная сила 1000мл (Хмельницкий);28;0.6111111
1931414;Домашній Доктор Шампунь Потрійна сила 1000 мл Ельфа (Україна, Коростень);572624;Домашний доктор Шампунь Тройная сила 1000 мл (Хмельницкий);27;0.625
1931415;Домашній Доктор Шампунь Яєчні жовтки та золотий вус 1000 мл Ельфа (Україна, Коростень);572731;Домашний доктор Шампунь яичные желтки и золотой ус 1000мл (Хмельницкий);33;0.61627907
1861748;Ельфа Сан Енерджи Емульсія для засмаги водостійка SPF-30 150 мл Ельфа (Україна, Коростень);580737;Ельфа Сан Енерджи Емульсія для засмаги гіпоалергенна водостійка SPF-50 150 мл Ельфа (Україна, Коростень) (СА АРОНИЯ);27;0.7
1723039;Ельфа Сан Енерджи Емульсія для засмаги гіпоалергенна для дітей SPF-30+ 150 мл Ельфа ФФ (Україна, Коростень);580737;Ельфа Сан Енерджи Емульсія для засмаги гіпоалергенна водостійка SPF-50 150 мл Ельфа (Україна, Коростень) (СА АРОНИЯ);26;0.7570093
1198000;Ефірна олія апельсинова 10 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);27;0.60294116
1277432;Ефірна олія апельсинова 20 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);27;0.60294116
1159509;Ефірна олія апельсинова 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);25;0.6268657
1276632;Ефірна олія бергамотова 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);26;0.61194026
1202748;Ефірна олія гвоздична 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);26;0.6
1258933;Ефірна олія евкаліпту 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);26;0.6
1271840;Ефірна олія жасмину 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);25;0.60317457
1264280;Ефірна олія іланг-ілангова 10 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);28;0.6056338
1164786;Ефірна олія імбирна 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);25;0.60317457
1166001;Ефірна олія лаванди 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);24;0.61904764
1242088;Ефірна олія мандаринова 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);26;0.61194026
1191187;Ефірна олія неролієва 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);26;0.6
1145121;Ефірна олія пальмарози 10 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);26;0.61194026
1203796;Ефірна олія розмаринова 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);26;0.61194026
1247948;Ефірна олія сосни альпійської 10 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);29;0.6081081
1152281;Ефірна олія сосни сибірської 10 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);28;0.6164384
1223079;Ефірна олія сосни сибірської 20 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);28;0.6164384
1685611;Ефірна олія Трояндова абсолютна 10 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);30;0.6052631
1256333;Ефірна олія чайного дерева 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);27;0.6142857
1198425;Ефірна олія чебрецю (тим'яну) 10 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);29;0.6081081
1230256;Ефірна олія шавлії лікарської 10 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);21;0.7162162
1296468;Ефірна олія шавлії мускатної 10 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);14;0.8082192
1239567;Ефірна олія ялиці (піхти) 20 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);27;0.6142857
1235417;Ефірна олія ялівцева (можев.) 5 мл Золотоноська ПКФ (Україна, Золотоноша);578736;Ефірна олія шавлії мускатної 5 мл Золотоноська ПКФ (Україна, Золотоноша) (СА АРОНИЯ);28;0.6164384
1997690;Зелена аптека мило рідке оливка і годжі 460 мл Ельфа (Україна, Коростень);570205;Зелена аптека гель для душу Ромашка і алоє 750 мл Ельфа (Україна, Коростень)(СА);25;0.65753424
1997690;Зелена аптека мило рідке оливка і годжі 460 мл Ельфа (Україна, Коростень);570206;Зелена аптека гель для душу Обліпиха і липа 750 мл Ельфа (Україна, Коростень)(СА);26;0.6438356
1984475;Зелена аптека Шампунь Липовий цвіт і обліпихова олія 350 мл Ельфа ФФ (Україна, Коростень);570206;Зелена аптека гель для душу Обліпиха і липа 750 мл Ельфа (Україна, Коростень)(СА);34;0.6179775
1905356;Зубний порошок Відбілюючий 75 г Фітокосметик (Россия, Москва);578715;Зубний порошок М'ятний 75 г Фітокосметик (Россия, Москва) (СА АРОНИЯ);21;0.6557377
1285299;Зубний порошок М'ятний 140 мл Фітокосметик (Россия, Москва);578715;Зубний порошок М'ятний 75 г Фітокосметик (Россия, Москва) (СА АРОНИЯ);17;0.7118644
1907986;Зубний порошок Особливий 75 г Фітокосметик (Россия, Москва);578715;Зубний порошок М'ятний 75 г Фітокосметик (Россия, Москва) (СА АРОНИЯ);19;0.6779661
1908024;Зубний порошок Сімейний 75 г Фітокосметик (Россия, Москва);578715;Зубний порошок М'ятний 75 г Фітокосметик (Россия, Москва) (СА АРОНИЯ);17;0.70689654
1637408;Канпол Пустушка латексна анатомічна 22/603, 0-6 місяців Канпол (Польша);580725;Канпол Пустушка латексна анатомічна 22/619, 0-6 міс. moonlight Канпол (Польша) (СА АРОНИЯ);25;0.64788735
1673078;Канпол Пустушка латексна анатомічна 22/605, 18+ міс. Канпол (Польша);580725;Канпол Пустушка латексна анатомічна 22/619, 0-6 міс. moonlight Канпол (Польша) (СА АРОНИЯ);27;0.60294116
1194526;Канпол Пустушка силіконова анатомічна 22/501, 0-6 міс. transparen Канпол (Польша);580725;Канпол Пустушка латексна анатомічна 22/619, 0-6 міс. moonlight Канпол (Польша) (СА АРОНИЯ);31;0.61728394
1680621;Канпол Соска силіконова анатомічна повільна 18/325 Канпол (Польша);365470;Соска силіконова анатомічна повільна 1 2шт 18/125;26;0.6060606
1695090;Канпол Соска силіконова анатомічна середня 18/326 Канпол (Польша);365471;Соска силіконова анатомічна середня 2 2шт 18/126;26;0.6
1683071;Канпол Соска силіконова кругла міні 18/314 Канпол (Польша);373481;Соска силіконова кругла міні 18/314;23;0.6034483
1703152;Канпол Соска силіконова кругла середня 18/316 Канпол (Польша);373483;Соска силіконова кругла середня 18/316;23;0.6229508
1649266;Капітошка Присипка дитяча 100 г Возрождение ЛТД (Україна, Харків);580717;Капітошка Присипка дитяча Календула 100 г Возрождение ЛТД (Україна, Харків) (СА АРОНИЯ);22;0.6615385
1713407;Капітошка Присипка дитяча Календула 50 г Возрождение ЛТД (Україна, Харків);580717;Капітошка Присипка дитяча Календула 100 г Возрождение ЛТД (Україна, Харків) (СА АРОНИЯ);14;0.8108108
1689715;Капітошка Присипка дитяча Ромашка 100 г Возрождение ЛТД (Україна, Харків);580717;Капітошка Присипка дитяча Календула 100 г Возрождение ЛТД (Україна, Харків) (СА АРОНИЯ);20;0.72602737
1667155;Капітошка Присипка дитяча Череда 100 г Возрождение ЛТД (Україна, Харків);580717;Капітошка Присипка дитяча Календула 100 г Возрождение ЛТД (Україна, Харків) (СА АРОНИЯ);18;0.75
1223218;Кетгут без голки стерильний Ігар р.3 (3/0 умовн) 1,5 м Shanxian Kanglida MP (Китай);578810;Кетгут без голки стерильний Ігар р.6 (2 умовн) 1,5 м;33;0.6024096
1764916;Кетотифен табл. 1 мг №30 Фармекс Групп (Україна, Борисполь);580825;Верапамил табл. 40 мг №20 Фармекс Групп (Україна, Борисполь) (СА АРОНИЯ);23;0.61016953
1764916;Кетотифен табл. 1 мг №30 Фармекс Групп (Україна, Борисполь);582001;Ревмалгин табл. 7,5 мг №20 Фармекс Групп (Україна, Борисполь) (СА АРОНИЯ);23;0.61016953
1267163;Меронем пор. д/п ін. р-ну 1000 мг фл. №10 ACS Dobfar (Италия);345339;Меронем пор. д/приг. р-ну 1000мг фл. №10;24;0.60655737
1176361;Молоковідсмоктувач індивідуальний ручний МОН-"АП" зі скляним резервуаром Альпіна Пласт (Россия, Москва);330990;Молоковідсмоктувач індивідуальний ручний МОН-"АП" з пластм. резервуаром;38;0.631068
1176361;Молоковідсмоктувач індивідуальний ручний МОН-"АП" зі скляним резервуаром Альпіна Пласт (Россия, Москва);359754;Молоковідсмоктувач індивідуальний ручний МОН-"АП" зі скляним резервуаром;31;0.6990291
1940227;Натурелла прокл. Camomile Classic Night  №7 Проктер енд Гембл Україна (Україна, Київ);580910;Натурелла прокл. CAMOMILE normal Проктер енд Гембл Україна (Україна, Київ) (СА АРОНИЯ);28;0.67058825
1232545;Нордік пластівці 4-х зернових 700 г Melia (Финляндия);572450;Нордик пласт. 4-х зернових 600г 81862 (Хмельницкий);20;0.6226415
2010605;Олвейс прокл. Classic Maxi Single  №9 Procter & Gamble (Венгрия);580861;Олвейс прокл. Classic Sens Normal Single  №10 Procter & Gamble (Венгрия) (СА АРОНИЯ);24;0.625
1254910;ОНДАНСЕТРОН р-н д/ін. 2 мг/мл амп. 2 мл №5 Лекхім-Харків (Україна, Харків);578692;Пиридоксин р-р д/ин. 50 мг/мл амп. 1 мл №10 Лекхім-Харків (Україна, Харків) (СА АРОНИЯ);29;0.6081081
1941050;Офтальмодек кап. глаз. 0,2 мг/мл фл. 5 мл №1 Фармекс Групп (Україна, Борисполь);578782;Мезатон кап. глаз. 2,5% фл. 5 мл №1 Фармекс Групп (Україна, Борисполь) (СА АРОНИЯ);29;0.6329114
1765011;Папаверин р-р д/ин. 20 мг/мл амп. 2 мл №10 Лекхім-Харків (Україна, Харків);578692;Пиридоксин р-р д/ин. 50 мг/мл амп. 1 мл №10 Лекхім-Харків (Україна, Харків) (СА АРОНИЯ);21;0.7162162
1156704;Пеленки "Білосніжка" 60 см х 60 см №30 Укрвата (Україна, Київ);554816;Пеленки "Білосніжка" 40 см х 60 см №25 Укрвата (Украина, Киев)(СА);9;0.8548387
1137862;Пеленки "Білосніжка" 90 см х 60 см №30 Укрвата (Україна, Київ);554816;Пеленки "Білосніжка" 40 см х 60 см №25 Укрвата (Украина, Киев)(СА);9;0.8548387
1716712;ПЛАСТИР МЕДИЧНИЙ RIVERPLAST "ІГАР" 2 см х 500 см, Ультрапор (на неткан. осн.) Changzhou Nanfang MAF (Китай);578787;ПЛАСТИР МЕДИЧНИЙ RIVERPLAST "ІГАР" 1 см х 500 см уп. картон., Класичний (на бавов. осн.) Changzhou Nanfang MAF (Китай) (СА АРОНИЯ);38;0.6448598
1638694;ПЛАСТИР МЕДИЧНИЙ RIVERPLAST "ІГАР" 3 см х 500 см, Ультрапор (на неткан. осн.) Changzhou Nanfang MAF (Китай);578787;ПЛАСТИР МЕДИЧНИЙ RIVERPLAST "ІГАР" 1 см х 500 см уп. картон., Класичний (на бавов. осн.) Changzhou Nanfang MAF (Китай) (СА АРОНИЯ);38;0.6448598
1255928;ПЛАСТИР ПЕРЦЕВИЙ ULTRA "H Dr. House" 6 см х 10 см SHIFFA PLASTER (Сирия);581832;Пластир перцевий Ultra «H Dr. House»  6 см х 10 cм;27;0.625
1906745;ПЛАСТЫРЬ МЕДИЦИНСКИЙ RIVERPLAST "ИГАР" 1 см х 500 см, Ультрапор (на неткан. осн.) Changzhou Nanfang MAF (Китай);578787;ПЛАСТИР МЕДИЧНИЙ RIVERPLAST "ІГАР" 1 см х 500 см уп. картон., Класичний (на бавов. осн.) Changzhou Nanfang MAF (Китай) (СА АРОНИЯ);44;0.6036036
1959938;Протектор на суглоб великого пальця стопи (з перегородкою) LS 22 Алком Торговый Дом (Україна, Київ);500779;Протектор на суглоб великого пальця стопи (з перегородкою) LS22 р.2;34;0.65656567
1972957;Рескью найт спрей 20 мл Bach Flower Remedies (Великобритания);553951;Рескью найт кап. 10 мл Bach Flower Remedies (Великобритания);6;0.90163934
1972957;Рескью найт спрей 20 мл Bach Flower Remedies (Великобритания);555467;Рескью ремеди краплі 10 мл Bach Flower Remedies (Великобритания);13;0.78688526
1972360;Рескью ремеді спрей 10 мл Bach Flower Remedies (Великобритания);553951;Рескью найт кап. 10 мл Bach Flower Remedies (Великобритания);11;0.82539684
1972360;Рескью ремеді спрей 10 мл Bach Flower Remedies (Великобритания);555467;Рескью ремеди краплі 10 мл Bach Flower Remedies (Великобритания);7;0.8888889
1970139;Сироп від кашлю др.Тайса "Добраніч" з алтеєю 100 мл фл. Натурпродукт ПТ (Німеччина);534030;Сироп від кашлю др.Тайса "Добраніч" з алтеєю 100 мл;32;0.61445785
1947299;СИСТЕМА ДЛЯ ПЕРЕЛИВАНИЯ КРОВИ, КОМПОНЕНТОВ КРОВИ, КРОВЕЗАМЕНИТЕЛЕЙ И ИНФУЗИОННЫХ РАСТВОРОВ  Jiangsu Kanghua ME (Китай);533147;СИСТЕМА ДЛЯ ПЕРЕЛИВАНИЯ КРОВИ, КОМПОНЕНТОВ КРОВИ, КРОВЕЗАМЕНИТЕЛЕЙ И ИНФУЗИОННЫХ РАСТВОРОВ с пластиковой иглой Changzhou Shuangma Medical Devices (Китай)(СА);46;0.61016953
1645705;СУДНО ПІДКЛАДНЕ з кришкою Гамма (Україна, Одеса);343754;Судно підкладне з кришкою пластмасове;18;0.625
1998198;Суправіт Актив табл. шип. №20 Kendy (Болгария);572860;Суправіт Актив таб. шип. №20;18;0.6086956
1932444;Хіпп пюре Перша дитяча біла морква 125 г, 4025 HIPP Kft (Венгрия);572594;Хипп пюре"Перша дитяча біла морква",125 г (Хмельницкий);26;0.6
